query,positive,negative
Provable data possession at untrusted stores,"['A public key cryptosystem and a signature scheme based on discrete logarithms', 'The Exact Security of Digital Signatures - HOw to Sign with RSA and Rabin', 'Pors: proofs of retrievability for large files', 'Proofs of Work and Bread Pudding Protocols', 'Aggregate and Verifiably Encrypted Signatures from Bilinear Maps']","['Design of a haptic arm exoskeleton for training and rehabilitation', 'Techniques for Assessing Polygonal Approximations of Curves', 'Facebook Use Predicts Declines in Subjective Well-Being in Young Adults', 'Recurrent Neural Word Segmentation with Tag Inference', 'A Review on the Meaning of Cognitive Cities', 'Optimizing Factorization Machines for Top-N Context-Aware Recommendations', 'Resolver Models for Manufacturing', 'Seeing Stars of Valence and Arousal in Blog Posts', 'Skintillates: Designing and Creating Epidermal Interactions', 'Active learning: theory and applications to automatic speech recognition', 'Uniport: A Uniform Programming Support Framework for Mobile Cloud Computing', 'From Modeling to Implementation of Virtual Sensors in Body Sensor Networks', 'From Pose to Activity: Surveying Datasets and Introducing CONVERSE', 'Pulse width modulation with resonant DC link converters', 'An ontological framework for knowledge modeling and decision support in cyber-physical systems', 'Parking lot guidance software based on MQTT Protocol', 'Change in perceived psychosocial status following a 12-week Tai Chi exercise programme.', 'An Efficient and Trustworthy Resource Sharing Platform for Collaborative Cloud Computing', 'Security in Container-Based Virtualization through vTPM', 'A Two-Handed Interface for Object Manipulation in Virtual Environments', 'Heritage Recording and 3D Modeling with Photogrammetry and 3D Scanning', 'On Type-Aware Entity Retrieval', 'StreamOp: An Innovative Middleware for Supporting Data Management and Query Functionalities over Sensor Network Streams Efficiently', 'TANDEM-bottleneck feature combination using hierarchical Deep Neural Networks', 'Gazture: Design and Implementation of a Gaze based Gesture Control System on Tablets']"
Sentiment-aware stock market prediction: A deep learning method,"['Deep Reinforcement Learning for Pairs Trading Georgia Institute of Technology', 'Deep Learning Stock Volatility with Google Domestic Trends', 'An innovative neural network approach for stock market prediction', 'Forecasting the volatility of stock price index: A hybrid model integrating LSTM with multiple GARCH-type models', 'On stock return prediction with LSTM networks']","['A Context-Aware User-Item Representation Learning for Item Recommendation', 'BUILDING INFORMATION MODELLING FOR CULTURAL HERITAGE : A REVIEW', 'Key-Value Retrieval Networks for Task-Oriented Dialogue', 'Think Globally, Fit Locally: Unsupervised Learning of Low Dimensional Manifold', 'Coupled Context Modeling for Deep Chit-Chat: Towards Conversations between Human and Computer', 'Initial Access in 5G mmWave Cellular Networks', 'The power of social media analytics', 'Design and implementation of vehicle tracking system using GPS/GSM/GPRS technology and smartphone application', 'Harassment Detection on Twitter using Conversations', 'Three Models to Relate Detachment of Low Form Fouling at Laboratory and Ship Scale', 'The causal relation between human papillomavirus and cervical cancer.', 'Digital Transformation in the Automotive Industry: towards a Generic Value Network', 'gRecs: A Group Recommendation System Based on User Clustering', 'Clustering in heterogeneous network and higher order structure', 'Sim-to-Real Transfer of Accurate Grasping with Eye-In-Hand Observations and Continuous Control', 'Data-Driven Sparse Structure Selection for Deep Neural Networks', 'Towards Agile Model-based Systems Engineering', 'A Feature-Enriched Neural Model for Joint Chinese Word Segmentation and Part-of-Speech Tagging', 'Computer science concept inventories: past and future', 'Using opcode-sequences to detect malicious Android applications', 'LightBox: SGX-assisted Secure Network Functions at Near-native Speed', 'Big Data and Machine Learning in E-government: Automatic Expert Evaluation Case', 'Performance comparison of intrusion detection systems and application of machine learning to Snort system', 'An Affect-Rich Neural Conversational Model with Biased Attention and Weighted Cross-Entropy Loss', 'Anatomical guidelines for miniscrew insertion: palatal sites.']"
Learning to Generate and Reconstruct 3D Meshes with only 2D Supervision,"['Neural 3D Mesh Renderer', 'Pix3D: Dataset and Methods for Single-Image 3D Shape Modeling', 'Learning Free-Form Deformations for 3D Object Reconstruction', 'Learning 3D Object Categories by Looking Around Them', '3D Pose Regression Using Convolutional Neural Networks']","['The synthesis and rendering of eroded fractal terrains', 'High voltage pulse power supply using Marx generator & solid-state switches', 'Highly integrated RF frontend module for high SHF wide-band massive MIMO in 5G, and switching-mode amplifiers beyond 4G', 'An Ultra Low Energy 12-bit Rate-Resolution Scalable SAR ADC for Wireless Sensor Nodes', 'Learning Compatibility Across Categories for Heterogeneous Item Recommendation', 'Analysis of the wrench-closure workspace of planar parallel cable-driven mechanisms', 'Cloud Forensics: Concepts, Issues, and Challenges', 'Face aging with conditional generative adversarial networks', 'A Parallel Particle Swarm Optimization Algorithm with Communication Strategies', 'Online Planning Algorithms for POMDPs', 'Silicon CMOS devices beyond scaling', 'Behavior of Machine Learning Algorithms in Adversarial Environments', 'Automatic turn segmentation for Movie & TV subtitles', 'From Motion Blur to Motion Flow: A Deep Learning Solution for Removing Heterogeneous Motion Blur', 'Multilevel Inverter For Grid-Connected PV System Employing Digital PI Controller', 'For a social network analysis of computer networks: a sociological perspective on collaborative work and virtual community', 'Stakeholder Perception of Enterprise Architecture', 'Adaptive Batch Mode Active Learning', 'Cryptographic schemes based on elliptic curve pairings', 'Service-oriented design and development methodology', 'Big Data and Privacy: Emerging Issues', 'Encrypted accelerated least squares regression', 'An Improved Design of Planar Elliptical Dipole Antenna for UWB Applications', 'A Collective Bayesian Poisson Factorization Model for Cold-start Local Event Recommendation', 'HelpingHand: example-based stroke stylization']"
Thoughts on Vehicular Ad Hoc Networks ( VANETs ) in the Real World Traffic Scenarios,"['Group signatures with verifier-local revocation', 'Vehicular Ad Hoc Networks (VANETs): Challenges and Perspectives', 'A Survey of Inter-Vehicle Communication ∗', 'Design of 5.9 ghz dsrc-based vehicular safety communication']","['Design of a haptic arm exoskeleton for training and rehabilitation', 'Stock Market Classification Model Using Sentiment Analysis on Twitter Based on Hybrid Naive Bayes Classifiers', 'Visual Place Recognition: A Survey', 'Docker Layer Placement for On-Demand Provisioning of Services on Edge Clouds', 'Depression and Psychosocial Risk Factors among Community-Dwelling Older Adults in Singapore.', 'Defect detection and identification in textile fabrics using Multi Resolution Combined Statistical and Spatial Frequency Method', 'Concepts Not Alone: Exploring Pairwise Relationships for Zero-Shot Video Activity Recognition', 'Dual Grid Array Antennas in a Thin-Profile Package for Flip-Chip Interconnection to Highly Integrated 60-GHz Radios', 'Device analyzer: largescale mobile data collection', 'NLOS Identification in Range-Based Source Localization: Statistical Approach', 'When and why do retrieval attempts enhance subsequent encoding?', 'Detecting Satire in the News with Machine Learning', 'Strategic human resource management ( SHRM ) practices and its effect on financial performance : evidence from some selected scheduled private commercial banks in Bangladesh', 'A fast procedure for computing the distance between complex objects in three-dimensional space', 'Real-time capable methods to determine the magnet temperature of permanent magnet synchronous motors — A review', 'FPGA Implementations of the Round Two SHA-3 Candidates', 'Efficient Exploratory Learning of Inverse Kinematics on a Bionic Elephant Trunk', 'Towards Linked Research Data: an Institutional Approach', 'Nonparametric variational inference', 'A Comparison of learning algorithms on the Arcade Learning Environment', 'The price of power: power seeking and backlash against female politicians.', 'Movie trailer quality evaluation using real-time human electroencephalogram', 'Filling Knowledge Base Gaps for Distant Supervision of Relation Extraction', 'The least mean fourth (LMF) adaptive algorithm and its family', 'Clustered Data Management in Virtual Docker Networks Spanning Geo-Redundant Data Centers : A Performance Evaluation Study of Docker Networking']"
Learning to Cluster for Proposal-Free Instance Segmentation,"['Instance-Level Human Parsing via Part Grouping Network', 'Multi-Object Tracking with Correlation Filter for Autonomous Vehicle', 'InstanceCut: From Edges to Instances with MultiCut', 'Spatial as Deep: Spatial CNN for Traffic Scene Understanding', 'Adversarial Structure Matching Loss for Image Segmentation']","['Semisupervised Autoencoder for Sentiment Analysis', 'ARRAYS AND AMPLITUDE AND SPATIAL', 'DeepCrime: Attentive Hierarchical Recurrent Networks for Crime Prediction', 'Bitcoin Market , economics and regulation SUMMARY', 'Accurate localization of RFID tags using phase difference', 'Accurate electrical battery model capable of predicting runtime and I-V performance', 'Interpretative case studies on agile team productivity and management', 'Thermal history of the Earth and its petrological expression', 'Image generation using generative adversarial networks and attention mechanism', 'Deep Learning Assisted Heuristic Tree Search for the Container Pre-marshalling Problem', 'Statistical Analysis of a Telephone Call Center : A Queueing-Science Perspective', 'Applying Organizational Routines in understanding organizational change', 'An Energy-Aware Trust Derivation Scheme With Game Theoretic Approach in Wireless Sensor Networks for IoT Applications', 'Deep Retinal Image Understanding', 'Millisecond Coupling of Local Field Potentials to Synaptic Currents in the Awake Visual Cortex', 'Simple Broadband Planar CPW-Fed Quasi-Yagi Antenna', 'A Fundamental Algorithm for Dependency Parsing', 'Cooperation between the default mode network and the frontal–parietal network in the production of an internal train of thought', 'Picturing Quantum Processes: A First Course in Quantum Theory and Diagrammatic Reasoning', 'The Other Side of the Coin: User Experiences with Bitcoin Security and Privacy', 'Chinese Clinical Entity Recognition via Attention-Based CNN-LSTM-CRF', 'Starcraft from the stands: understanding the game spectator', 'Corporate Social Responsibility and Access to Finance', 'Design of inclined and displaced slotted waveguide array antennas with low sidelobe radiation patterns']"
The large-scale organization of metabolic networks,"['An empirical Bayes approach to inferring large-scale gene association networks', 'Synchronization in small-world systems.', 'Hidden Community Detection in Social Networks', 'A quantitative analysis of the local connectivity between pyramidal neurons in layers 2/3 of the rat visual cortex', 'A general model for the origin of allometric scaling laws in biology.']","['Engineering Parallel Algorithms for Community Detection in Massive Networks', 'Two people walk into a bar: dynamic multi-party social interaction with a robot agent', '""Why Should I Trust You?"": Explaining the Predictions of Any Classifier', 'A Unified Game-Theoretic Approach to Multiagent Reinforcement Learning', 'Automatic verification of the TLS handshake protocol', 'Latent feature representation with stacked auto-encoder for AD/MCI diagnosis', 'A survey of security techniques for the border gateway protocol (BGP)', 'Enumerating the Non-Isomorphic Assembly Configurations of Modular Robotic Systems', 'Fuzzy optimization for supply chain planning under supply, demand and process uncertainties', 'Adapting Difficulty Levels in Personalized Robot-Child Tutoring Interactions', 'Analysis of a Resonant Transistor DC-DC Converter with Capacitive Output Filter', 'FUZZY SETS AND SYSTEMS *', 'Individual Tree Delineation in Windbreaks Using Airborne-Laser-Scanning Data and Unmanned Aerial Vehicle Stereo Images', 'Accelerated image processing on FPGAs', '4W1H in mobile crowd sensing', 'Metrics for evaluating 3D medical image segmentation: analysis, selection, and tool', 'English Multiword Expression-aware Dependency Parsing Including Named Entities', 'Adaptive controller for motion control of an omni-directional walker', 'Low loss H-shape SIW hybrid coupler for millimeter-wave phased arrays antenna systems', 'Illumination for Computer Generated Pictures', 'A Real-Time Matching System for Large Fingerprint Databases', 'Forecasting Civil Unrest Using Social Media and Protest Participation Theory', 'Object Co-segmentation via Graph Optimized-Flexible Manifold Ranking', 'Experiences in Malware Binary Deobfuscation', 'Not at the Dinner Table: Parents¿ and Children¿s Perspectives on Family Technology Rules']"
Training Very Deep Networks,"['An Internet computing model for ensuring continuity of healthcare', 'Convolutional deep learning for 3D object retrieval', 'Fourier PCA and robust tensor decomposition', 'Optimal Distributed Online Prediction', 'Corporate Social Responsibility in Emerging Markets: the Chilean Experience']","['Avatar anthropomorphism and illusion of body ownership in VR', 'Effects of Situated Mobile Learning Approach on Learning Motivation and Performance of EFL Students', 'Heterozygosity for ARID2 loss-of-function mutations in individuals with a Coffin–Siris syndrome-like phenotype', 'Gravikinesis in Stylonychia mytilus is based on membrane potential changes.', 'Self-reported psychotic disorders among Individuals with substance use disorders: findings from the National Epidemiologic Survey on Alcohol and Related Conditions.', 'Please Lower Small Cell Antenna Heights in 5G', 'Automatic Access Control Based on Face and Hand Biometrics in a Non-cooperative Context', 'Current mode quadrature oscillator using current differencing transconductance amplifiers ( CDTA )', 'Web Content Extraction by Integrating Textual and Visual Importance of Web Pages', 'ASPEC: Asian Scientific Paper Excerpt Corpus', 'Split-Brain Autoencoders: Unsupervised Learning by Cross-Channel Prediction', 'Phenolic glycosides from Curculigo orchioides Gaertn.', 'Supply Networks as Complex Systems: A Network-Science-Based Characterization', 'Realization of Kalman filter in GNU radio', 'A Controllable Bidirectional Battery Charger for Electric Vehicles with Vehicle-to-Grid Capability', 'Current methods of diagnosis and treatment of scaphoid fractures', 'BLACKLISTED SPEAKER IDENTIFICATION USING TRIPLET NEURAL NETWORKS', 'Financial Knowledge and Credit Card Behavior of College Students', 'Adolescent suicide and suicidal behavior.', 'The Achilles tendon Total Rupture Score (ATRS): development and validation.', 'A new method for design and implementation of intelligent traffic control system based on fuzzy logic using FPGA', 'Domain Adaptation for the Classification of Remote Sensing Data: An Overview of Recent Advances', 'Polymer Composite and Nanocomposite Dielectric Materials for Pulse Power Energy Storage †', 'Neuronavigation in minimally invasive spine surgery.', '""What happens if..."" Learning to Predict the Effect of Forces in Images']"
Lire: lucene image retrieval: an extensible java CBIR library,"['Golden retriever: a Java based open source image retrieval engine', 'Internal validation of predictive models: efficiency of some procedures for logistic regression analysis.', 'Visual information retrieval using Java and LIRE', 'What Does a TextCNN Learn?', 'LIRE: open source image retrieval in Java']","['New Privacy Threat on 3G, 4G, and Upcoming 5G AKA Protocols', 'Non-Orthogonal Multiple Access With Cooperative Full-Duplex Relaying', ""Comments-oriented document summarization: understanding documents with readers' feedback"", 'Automatic detection of arguments in legal texts', 'An innovation - diffusion view of implementation of enterprise resource planning (ERP) systems and development of a research model', 'A Review of Factors Affecting Music Recommender Success', 'UnrealCV: Virtual Worlds for Computer Vision', 'How it works: a field study of non-technical users interacting with an intelligent system', 'Cannabidiol and (-)Delta9-tetrahydrocannabinol are neuroprotective antioxidants.', 'Replacing the Grid Interface Transformer in Wind Energy Conversion System With Solid-State Transformer', 'Executive Involvement and Participation in the Management of Information Technology', 'The arules R-Package Ecosystem: Analyzing Interesting Patterns from Large Transaction Data Sets', 'Stochastic separation theorems', 'Sense-Aaware Semantic Analysis: A Multi-Prototype Word Representation Model Using Wikipedia', 'Understanding the Great Ordovician Biodiversification Event ( GOBE ) : Influences of paleogeography , paleoclimate , or paleoecology ?', 'Relationship Between Choice Reaction Time and Expertise in Team and Individualsports : A Gender Differences Approach', 'Automatic Classification of Bird Species From Their Sounds Using Two-Dimensional Cepstral Coefficients', 'Sexually transmitted diseases treatment guidelines, 2010.', 'Bilateral Transverse Facial Cleft as an Isolated and Asyndromic Deformity', 'Fractal Antenna Elements and Arrays', 'Unsupervised Nearest Neighbors Clustering With Application to Hyperspectral Images', 'Traffic Games: Modeling Freeway Traffic with Game Theory', 'Efficacy of a tetravalent dengue vaccine in children in Latin America.', 'Graph-signal reconstruction and blind deconvolution for diffused sparse inputs']"
Using Pre-Trained Models for Fine-Grained Image Classification in Fashion Field,"['Deep learning of binary hash codes for fast image retrieval', 'Efficient Object Category Recognition Using Classemes', 'Describing objects by their attributes', 'Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift', 'Style Finder : Fine-Grained Clothing Style Recognition and Retrieval']","['Integrated Phased Array Systems in Silicon', 'Psychophysiology of False Memories in a Deese-Roediger-McDermott Paradigm with Visual Scenes', 'On the O(1=k) convergence of asynchronous distributed alternating Direction Method of Multipliers', 'Racial Faces in-the-Wild: Reducing Racial Bias by Deep Unsupervised Domain Adaptation', 'Labelling strategies for hierarchical multi-label classification techniques', 'Neural correlates of mindfulness meditation-related anxiety relief.', 'Making business sense of the Internet.', 'Low-Profile Dual-Wideband Inverted-T Open Slot Antenna for the LTE/WWAN Tablet Computer With a Metallic Frame', 'SLING: A framework for frame semantic parsing', 'Backing Rich Credentials with a Blockchain PKI ∗', 'Normative rational agents-A BDI approach', 'Executive Functions Predict the Success of Top-Soccer Players', 'Lava: Hardware Design in Haskell', 'Locational marginal pricing basics for restructured wholesale power markets', 'Guidelines for Financial Forecasting with Neural Networks', 'Transductive Event Classification through Heterogeneous Networks', 'The turing test track of the 2012 Mario AI Championship: Entries and evaluation', 'Advanced Message Queuing Protocol', 'Building a Robust Implementation of Bearing-only Inertial SLAM for a UAV', 'Joint Optimization of Resource Provisioning in Cloud Computing', 'Taking Empowerment to the Next Level : A Multiple-Level Model of Empowerment , Performance , and Satisfaction', 'Dataset Augmentation in Feature Space', 'Lattice-based motion planning for a general 2-trailer system', 'Temporal QoS-aware web service recommendation via non-negative tensor factorization', 'THE EFFECTS OF MYOFASCIAL RELEASE VS STATIC STRETCHING ON HAMSTRINGS RANGE OF MOTION']"
Decomposition into low-rank plus additive matrices for background/foreground separation: A review for a comparative evaluation with a large-scale dataset,"['Evaluation of background subtraction techniques for video surveillance', 'Wallflower: Principles and Practice of Background Maintenance', 'Sparse Subspace Clustering with Missing Entries', 'The Augmented Lagrange Multiplier Method for Exact Recovery of Corrupted Low-Rank Matrices', 'Improved adaptive Gaussian mixture model for background subtraction']","['Applications of ANNs in Stock Market Prediction : A Survey', 'Stylized augmented reality for improved immersion', 'Story Segmentation and Detection of Commercials in Broadcast News Video', 'A Data-Driven Inventory Control Policy for Cash Logistics Operations: An Exploratory Case Study Application at a Financial Institution', 'Neurophysiological predictor of SMR-based BCI performance', 'Approximating Longest Directed Paths and Cycles', 'Introduction to E-commerce Learning Objectives', 'Spectral–Spatial Classification of Hyperspectral Data Using Loopy Belief Propagation and Active Learning', 'Learning Low Dimensional Convolutional Neural Networks for High-Resolution Remote Sensing Image Retrieval', 'Robustness of the Markov-chain model for cyber-attack detection', 'A new pedestrian dataset for supervised learning', 'Mechanism-Aware Neural Machine for Dialogue Response Generation', 'Focused ultrasound modulates region-specific brain activity', 'Towards a Cortical Prosthesis: Implementing A Spike-Based HMAX Model of Visual Object Recognition in Silico', 'Abductive Reasoning with Description Logics: Use Case in Medical Diagnosis', 'Intelligent churn prediction in telecom: employing mRMR feature selection and RotBoost based ensemble classification', 'CMOS Image Sensors With Multi-Bucket Pixels for Computational Photography', 'Real-time anomaly detection over VMware performance data using storm', 'Animal-assisted therapy and loneliness in nursing homes: use of robotic versus living dogs.', 'A Compressed Representation for Ray Tracing Parametric Surfaces', 'Sinusoidal pulse width modulation (SPWM) with variable carrier synchronization for multilevel inverter controllers', 'Special Issue: Information Technology and Organizational Governance: The IT Governance Cube', 'Face Recognition with Local Binary Patterns, Spatial Pyramid Histograms and Naive Bayes Nearest Neighbor Classification', 'Fast Texture Transfer', 'The Relationship Between Gender Social Identity and Support for Feminism']"
Orientation Histograms for Hand Gesture Recognition,"['Hand gesture recognition using a neural network shape fitting technique', 'Parametric Hidden Markov Models for Gesture Recognition', 'Hand gesture recognition using depth data', 'Hand Gesture Recognition Using Input-Output Hidden Markov Models', 'Gesture recognition with a Wii controller']","['Hydrogels for tissue engineering: scaffold design variables and applications.', 'Virtual empathy: Positive and negative impacts of going online upon empathy in young adults', 'Ambiguity in Categorical Models of Meaning', 'Genetic algorithms: concepts and applications [in engineering design]', 'Sentiment Analysis: Mining Opinions, Sentiments, and Emotions', 'Blood vessel extraction and optic disc removal using curvelet transform and kernel fuzzy c-means', 'Relationship between gluteal muscle activation and upper extremity kinematics and kinetics in softball position players', 'Sentiment Analysis and Opinion Mining', 'Recurrent Memory Networks for Language Modeling', 'DOLORES: Deep Contextualized Knowledge Graph Embeddings', 'Recommendation with Social Relationships via Deep Learning', 'Semantic Deep Learning', 'A review of visual inertial odometry from filtering and optimisation perspectives', 'Sampling for qualitative research.', 'ADC: Automated Deep Compression and Acceleration with Reinforcement Learning', 'Proposal of Improved Winding Method for VR Resolver', 'Robust classification of different fingerprint copies with deep neural networks for database penetration rate reduction', 'Design and Implementation of a New Multilevel Inverter Topology', 'An Outlier Detection Model Based on Cross Datasets Comparison for Financial Surveillance', 'Encoding Syntactic Knowledge in Neural Networks for Sentiment Classification', ""Clinical practice. Graves' disease."", 'A Survey on Visual Approaches for Analyzing Scientific Literature and Patents', 'Indoor scene structure analysis for single image depth estimation', 'FPGA-Based Accelerator for Deep Convolutional Neural Networks for the SPARK Environment', ""Entrepreneur or Intermediary: The Nature of the Relationship Manager's Job""]"
Deep learning code fragments for code clone detection,"['Mining Change Patterns in AspectJ Software Evolution', 'A comprehensive study of the predictive accuracy of dynamic change-impact analysis', 'Detection of semantically similar code', 'SolMiner: Mining Distinct Solutions in Programs', 'Automatically generating features for learning program analysis heuristics for C-like languages']","['The Abstract Expressionists and Les Automatistes: A shared multi-fractal depth?', 'A Framework for Automatic Exam Generation based on Intended Learning Outcomes', 'Improving Back-Propagation by Adding an Adversarial Gradient', 'JPE 13-1-3 Analysis , Design and Implementation of a Soft Switching DC / DC Converter', 'Congenital malformations of the female genital tract: the need for a new classification system.', 'Ease of use and usefulness as measures of student experience in a multi-platform e-textbook pilot', 'A Critique of the Philosophical Underpinnings of Mainstream Social Science Research', 'Designing For or Designing With? Informant Design For Interactive Learning Environments', 'Data center networking with multipath TCP', 'Plant-Derived Anti-Inflammatory Compounds: Hopes and Disappointments regarding the Translation of Preclinical Knowledge into Clinical Progress', 'Automated news reading: Stock price prediction based on financial news using context-capturing features', 'The pattern of facial skeletal growth and its relationship to various common indexes of maturation.', 'Towards a model of consumer use of mobile information and communication technology in LDCs: the case of sub-Saharan Africa', 'Learning a strategy for adapting a program analysis via bayesian optimisation', 'Finger design automation for industrial robot grippers: A review', 'Applications of Robot Assisted Language Learning (RALL) in Language Learning and Teaching', 'Grading and Classification of Anthracnose Fungal Disease of Fruits based on Statistical Texture Features', 'Scale invariance and noise in natural images', ""Will the experience of playing a violent role in a video game influence people's judgments of violent crimes?"", 'Chapter 7 Sliding Inguinal Hernias', 'Two-Dimensional Active Learning for image classification', 'I Know What You Want: Semantic Learning for Text Comprehension', 'of Crop Yield Forecasting Methods and Early Warning Systems', 'When Mobile Blockchain Meets Edge Computing', 'Modified H-bridge multilevel inverter for Photovoltaic micro-grid systems']"
RELATIONSHIP-BASED APPROACH TO LEADERSHIP : DEVELOPMENT OF LEADER-MEMBER EXCHANGE ( LMX ) THEORY OF LEADERSHIP OVER 25 YEARS : APPLYING A MULTI-LEVEL MULTI-DOMAIN PERSPECTIVE,"[""Leader-member exchange and its dimensions: effects of self-effort and other's effort on relationship quality."", 'From Transactional to Iransformational Leadership : Learning to Share the Vision', 'Relational Leadership Theory : Exploring the social processes of leadership and organizing', 'ETHICS , CHARACTER , AND AUTHENTIC TRANSFORMATIONAL LEADERSHIP BEHAVIOR', 'WHO WILL LEAD AND WHO WILL FOLLOW ? A SOCIAL PROCESS OF LEADERSHIP IDENTITY CONSTRUCTION IN ORGANIZATIONS']","['Application of FPGA based PLL in a CSI fed induction heating prototype', 'Understanding student learning trajectories using multimodal learning analytics within an embodied-interaction learning environment', 'Videogames: Dispelling myths and tabloid headlines that videogames are bad', 'Forehead augmentation with alloplastic implants.', 'A fully homomorphic encryption scheme with symmetric keys with application to private data processing in clouds', 'Cognitive rehabilitation for spatial neglect following stroke.', 'A Wideband Compact Parallel-Strip 180 Wilkinson Power Divider for Push – Pull Circuitries', 'A Simple Algebraic Model based Polyalphabetic Substitution Cipher', 'Classifying and Segmenting Microscopy Images Using Convolutional Multiple Instance Learning', 'A modular hierarchical approach to 3D electron microscopy image segmentation', 'Interventions to improve teamwork and communications among healthcare staff.', 'DLID: Deep Learning for Domain Adaptation by Interpolating between Domains', 'Incremental graph pattern matching', 'Assessment of personality dimensions in children and adolescents with bipolar disorder using the Junior Temperament and Character Inventory.', 'A review of tricaine methanesulfonate for anesthesia of fish', 'Awareness of Menstrual Abnormality Amongst College Students in Urban Area of Ile-Ife, Osun State, Nigeria', 'Visual SLAM for Handheld Monocular Endoscope', 'Shame and guilt in the aftermath of terror: the Utøya Island study.', 'Multi-view self-supervised deep learning for 6D pose estimation in the Amazon Picking Challenge', 'HAND GESTURE RECOGNITION SYSTEM FOR DUMB PEOPLE Sagar P . More * 1 ,', 'An Empirical Study on the Usage of the Swift Programming Language', 'Reclaimed water as a reservoir of antibiotic resistance genes: distribution system and irrigation implications', 'Clinical and economic burden of surgical site infection (SSI) and predicted financial consequences of elimination of SSI from an English hospital.', 'Universal mobility-field curves for electrons and holes in MOS inversion layers', 'Metric Regression Forests for Correspondence Estimation']"
Machine Learning Approaches for Failure Type Detection and Predictive Maintenance,"['ORTHONORMAL BASES OF COMPACTLY SUPPORTED WAVELETS', 'An introduction to hidden Markov models', 'The Nature of Statistical Learning Theory', 'State-of-the-Art Predictive Maintenance Techniques*', 'A tutorial on support vector regression']","['A foundation for representing and querying moving objects', 'Publicity Trends in Arrests of "" Online Predators "" How the National Juvenile Online Victimization (n‐jov) Study Was Conducted', 'Boosting for transfer learning', 'BRAINIAC: Bringing reliable accuracy into neurally-implemented approximate computing', 'The Wnt signaling pathway in development and disease.', 'Creating people-aware IoT applications by combining design thinking and user-centered design methods', 'Recovering the interleaver of an unknown turbo-code', 'BodyAvatar: creating freeform 3D avatars using first-person body gestures', 'Automated Verification of Electrum Wallet', 'Image Steganography based on a Parameterized Canny Edge Detection Algorithm', 'Magnetic Optimization Algorithms a new synthesis', 'A Quantitative and Qualitative Assessment of Automatic Text Summarization Systems', 'Pseudogen: A Tool to Automatically Generate Pseudo-Code from Source Code', 'Free Form based active contours for image segmentation and free space perception', 'Learning Filter Banks Using Deep Learning For Acoustic Signals', 'SpatialHadoop: towards flexible and scalable spatial processing using mapreduce', 'Neon: A (Big) (Fast) Single-Chip 3D Workstation Graphics Accelerator', 'The folly of forecasting : The effects of a disaggregated sales forecasting system on sales forecast error , sales forecast positive bias , and inventory levels', 'A Semi-Supervised Approach for Kernel-Based Temporal Clustering', 'Failure Analysis of SGI XFS File System', 'Two-Stream 3-D convNet Fusion for Action Recognition in Videos With Arbitrary Size and Length', 'A Survey of Surface-Based Illustrative Rendering for Visualization', 'A sample size calculator for SMART pilot studies', 'Big Data Analytics for Air Quality Monitoring at a Logistics Shipping Base via Autonomous Wireless Sensor Network Technologies', 'AutoBrief: an experimental system for the automatic generation of briefings in integrated text and information graphics']"
On the Role of Lexical and World Knowledge in RTE3,"['met*: A Method for Discriminating Matonymy and Metaphor by Computer', 'The Berkeley FrameNet Project', 'Discovery of inference rules for question-answering', 'WordNet : an electronic lexical database', 'Efficient clustering of high-dimensional data sets with application to reference matching']","['Translating evidence-based decision making into practice: EBDM concepts and finding the evidence.', 'Pedestrian intention recognition using Latent-dynamic Conditional Random Fields', 'One-Shot Segmentation in Clutter', 'Deep Constrained Clustering - Algorithms and Advances', 'Abstraction and reformulation in artificial intelligence.', 'Perception and Emotion How We Recognize Facial Expressions', 'Hybrid Fuzz Testing: Discovering Software Bugs via Fuzzing and Symbolic Execution', 'Industrial Management & Data Systems Transformational leadership and innovative work behavior', 'Graph Data Management and Mining: A Survey of Algorithms and Applications', 'Assessing the veracity of identity assertions via OSNs', 'Explainable User Clustering in Short Text Streams', 'Temporally Grounding Natural Sentence in Video', 'MOTHERS WHO KILL THEIR CHILDREN A literature review', 'Clustering of Gaze During Dynamic Scene Viewing is Predicted by Motion', 'A general framework for benchmarking firewall optimization techniques', 'Visual Tracking with Fully Convolutional Networks', 'Revisiting Complex Moments for 2-D Shape Representation and Image Normalization', 'Variable Selection via Penalized Neural Network : a Drop-Out-One Loss Approach', 'Human-computer interaction for hybrid carving', 'Modelling consumer credit risk via survival analysis', 'DeepQA Jeopardy! Gamification: A Machine-Learning Perspective', 'ExtRA: Extracting Prominent Review Aspects from Customer Feedback', 'Fast trajectory clustering using Hashing methods', 'IoT Security Framework for Smart Cyber Infrastructures', 'A mixed-signal X-band SiGe multi-function control MMIC for phased array radar applications']"
